sample.ID	S	reference
HG00371	0.130364213890461	TRUE
HG00372	0.134311631154989	TRUE
HG00373	0.133538044882768	TRUE
HG00375	0.139707921020448	TRUE
HG00376	0.140562279969223	TRUE
HG00378	0.120464014057221	TRUE
HG00379	0.12759894693725	TRUE
HG00380	0.169086335268001	TRUE
HG00381	0.119589916238447	TRUE
HG00382	0.135677612206131	TRUE
HG00383	0.134216838733196	TRUE
HG00384	0.116655569747837	TRUE
HG00403	0.0981087305074233	TRUE
HG00404	0.0982819622267663	TRUE
HG00406	0.110585062003788	TRUE
HG00407	0.104894034987909	TRUE
HG00409	0.0890012762230192	TRUE
HG00410	0.100306444403944	TRUE
HG00419	0.0985591463899013	TRUE
HG00421	0.0949569647252058	TRUE
HG00422	0.113162925726879	TRUE
HG00428	0.0904654055355708	TRUE
HG00436	0.0987924520334523	TRUE
HG00437	0.102720574573556	TRUE
HG00442	0.115405273701151	TRUE
HG00443	0.0953781065386657	TRUE
HG00445	0.100512919491421	TRUE
HG00446	0.0992962582458411	TRUE
HG00448	0.111911735225267	TRUE
HG00449	0.0928765052611924	TRUE
HG00451	0.106762206505091	TRUE
HG00452	0.0991731508292676	TRUE
HG00457	0.104555905731899	TRUE
HG00458	0.116792934715979	TRUE
HG00463	0.0983068275174691	TRUE
HG00464	0.0983439259674265	TRUE
HG00472	0.114712249926368	TRUE
HG00473	0.0868688966478825	TRUE
HG00476	0.0822828735159387	TRUE
HG00478	0.10276672926102	TRUE
HG00479	0.0918052846984799	TRUE
HG00500	0.104121578525135	TRUE
HG00513	0.105181186979266	TRUE
HG00524	0.107275098690703	TRUE
HG00525	0.0895301999895389	TRUE
HG00530	0.0955365243848109	TRUE
HG00531	0.0986155316651904	TRUE
HG00533	0.0902765731881	TRUE
HG00534	0.0981255830947217	TRUE
HG00536	0.100768292171378	TRUE
HG00537	0.101906622675983	TRUE
HG00543	0.114802916325289	TRUE
HG00551	0.142716508182902	TRUE
HG00553	0.153036294156347	TRUE
HG00554	0.161022762653362	TRUE
HG00556	0.0951006451043385	TRUE
HG00557	0.0901076456633785	TRUE
HG00559	0.187969305302056	TRUE
HG00560	0.0936750876503386	TRUE
HG00565	0.106290119482846	TRUE
HG00566	0.113601855425505	TRUE
HG00580	0.0912814162242244	TRUE
HG00583	0.111649328659419	TRUE
HG00589	0.104916292185429	TRUE
HG00590	0.110876632618484	TRUE
HG00592	0.109771380223374	TRUE
HG00593	0.102536255947562	TRUE
HG00596	0.0900351891800937	TRUE
HG00598	0.105020966919858	TRUE
HG00599	0.108682984037944	TRUE
HG00608	0.103489228658248	TRUE
HG00610	0.0934086838951562	TRUE
HG00611	0.114441122109811	TRUE
HG00613	0.0883944425934137	TRUE
HG00614	0.13542402355672	TRUE
HG00619	0.106979226020146	TRUE
HG00620	0.106838865859617	TRUE
HG00622	0.106212203876581	TRUE
HG00623	0.119003180566398	TRUE
HG00625	0.126830196418183	TRUE
HG00626	0.102735933182575	TRUE
HG00628	0.0957525674042786	TRUE
HG00629	0.0933851525057797	TRUE
HG00631	0.107580860245549	TRUE
HG00632	0.0924391050815532	TRUE
HG00634	0.113508509488967	TRUE
HG00637	0.132795051424302	TRUE
HG00638	0.149369946470041	TRUE
HG00640	0.14588006298527	TRUE
HG00641	0.187942802321348	TRUE
HG00650	0.10096138325466	TRUE
HG00651	0.111504767106684	TRUE
HG00653	0.103461579710355	TRUE
HG00654	0.10960174670898	TRUE
HG00656	0.0967072290383819	TRUE
HG00657	0.0871940028176422	TRUE
HG00662	0.0887890510925014	TRUE
HG00663	0.11611455354367	TRUE
HG00671	0.0922478380403306	TRUE
HG00672	0.0971911305956763	TRUE
HG00674	0.101896698846355	TRUE
HG00675	0.115779652291663	TRUE
HG00683	0.120183381467203	TRUE
HG00684	0.0948801031574861	TRUE
HG00689	0.126279648614293	TRUE
HG00690	0.132747616244066	TRUE
HG00692	0.0965163787042939	TRUE
HG00693	0.108507966662325	TRUE
HG00698	0.104020069447842	TRUE
HG00699	0.101848488926489	TRUE
HG00701	0.146843621332031	TRUE
HG00704	0.118694602435861	TRUE
HG00705	0.0922830129782452	TRUE
HG00707	0.130930686039706	TRUE
HG00708	0.102626740565619	TRUE
HG00717	0.11103439999704	TRUE
HG00728	0.107500161304556	TRUE
